         25041500 function calls (25027833 primitive calls) in 20.434 seconds

   Ordered by: cumulative time
   List reduced from 2304 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002   20.443   20.443 /projects/wavi0116/code/BayesOpt/code/profiler.py:29(run_bo_experiment)
        1    0.001    0.001   16.114   16.114 /projects/wavi0116/code/BayesOpt/code/utils/bo.py:4(optimization_loop)
       10    0.001    0.000   14.592    1.459 /projects/wavi0116/code/BayesOpt/code/utils/acq_funcs.py:5(ei)
       20    0.001    0.000   12.768    0.638 /projects/wavi0116/code/tanimoto-gp/tanimoto_gp/__init__.py:111(predict_y)
       20    1.818    0.091   12.459    0.623 /projects/wavi0116/code/tanimoto-gp/tanimoto_gp/__init__.py:48(predict_f)
  431/407    0.002    0.000    8.337    0.020 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/traceback_util.py:176(reraise_with_filtered_traceback)
  430/407    0.002    0.000    8.335    0.020 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/pjit.py:334(cache_miss)
  430/407    0.004    0.000    8.322    0.020 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/pjit.py:179(_python_pjit_helper)
      407    0.004    0.000    7.880    0.019 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/pjit.py:1624(_pjit_call_impl_python)
2143/1692    0.010    0.000    7.785    0.005 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/profiler.py:331(wrapper)
      407    0.002    0.000    6.468    0.016 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/interpreters/pxla.py:2441(compile)
      407    0.027    0.000    6.466    0.016 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/interpreters/pxla.py:2899(from_hlo)
      407    0.006    0.000    6.364    0.016 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/interpreters/pxla.py:2739(_cached_compilation)
      407    0.011    0.000    6.258    0.015 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/compiler.py:354(compile_or_get_cached)
      145    0.004    0.000    6.160    0.042 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/numpy/lax_numpy.py:5653(asarray)
      145    0.014    0.000    6.155    0.042 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/numpy/lax_numpy.py:5387(array)
      407    0.002    0.000    6.124    0.015 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/compiler.py:681(_compile_and_write_cache)
      407    6.091    0.015    6.117    0.015 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/compiler.py:297(backend_compile)
       20    0.000    0.000    4.982    0.249 /projects/wavi0116/code/kernel-only-GP/kern_gp/__init__.py:29(noiseless_predict)
      420    0.409    0.001    3.726    0.009 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/dtypes.py:838(_lattice_result_type)
       20    0.001    0.000    3.615    0.181 /projects/wavi0116/code/kernel-only-GP/kern_gp/__init__.py:40(_L_noiseless_predict)
  1183689    0.291    0.000    3.242    0.000 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/dtypes.py:839(<genexpr>)
      283    0.002    0.000    3.027    0.011 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/numpy/array_methods.py:574(deferring_binary_op)
  1183269    0.884    0.000    2.951    0.000 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/dtypes.py:602(_dtype_and_weaktype)
        1    0.103    0.103    2.637    2.637 /projects/wavi0116/code/BayesOpt/code/utils/GPCheckpoint.py:30(load_gp_checkpoint)
    11000    2.415    0.000    2.415    0.000 /projects/wavi0116/code/BayesOpt/code/utils/misc.py:106(smiles_to_fp)
 1023/905    0.002    0.000    2.100    0.002 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/core.py:500(bind)
      194    0.004    0.000    2.074    0.011 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/numpy/ufunc_api.py:173(__call__)
 1024/896    0.004    0.000    2.025    0.002 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/core.py:504(_true_bind)
 1023/905    0.001    0.000    2.017    0.002 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/core.py:524(bind_with_trace)




================================================================================

         25041500 function calls (25027833 primitive calls) in 20.434 seconds

   Ordered by: internal time
   List reduced from 2304 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      407    6.091    0.015    6.117    0.015 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/compiler.py:297(backend_compile)
    11000    2.415    0.000    2.415    0.000 /projects/wavi0116/code/BayesOpt/code/utils/misc.py:106(smiles_to_fp)
       20    1.818    0.091   12.459    0.623 /projects/wavi0116/code/tanimoto-gp/tanimoto_gp/__init__.py:48(predict_f)
        2    1.341    0.670    1.383    0.691 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/pandas/io/parsers/c_parser_wrapper.py:222(read)
  1183269    0.884    0.000    2.951    0.000 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/dtypes.py:602(_dtype_and_weaktype)
  1191171    0.678    0.000    1.432    0.000 {built-in method builtins.any}
  4733076    0.659    0.000    0.661    0.000 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/dtypes.py:604(<genexpr>)
      407    0.598    0.001    0.693    0.002 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/interpreters/mlir.py:608(make_ir_context)
  1186018    0.506    0.000    0.637    0.000 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/dtypes.py:814(dtype)
2533048/2532981    0.411    0.000    0.735    0.000 {built-in method builtins.isinstance}
      420    0.409    0.001    3.726    0.009 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/dtypes.py:838(_lattice_result_type)
